單字,詞類 (Parts of Speech)
girl,n.
healthy,adj.
idea,n.
give,v.
hear,v.
if,conj.
glad,adj.
heart,n.
important,adj.
glass,n.
heat,n./v.
in,prep./adv./adj.
glasses,n.
heavy,adj.
inch,n.
glove(s),n.
height,n.
insect,n.
go,v./n.
hello,n.
inside,prep./adv./n./adj.
god/goddess,n.
help,v./n.
interest,n./v.
good,adj./adv./n.
helpful,adj.
interested,adj.
goodbye,n.
hen,n.
interesting,adj.
grade,n./v.
here,adv./n.
interview,n./v.
grandfather,n.
hide,v.
into,prep.
grandmother,n.
high,adj./adv./n.
invite,v.
grass,n.
hill,n.
island,n.
gray,adj./n./v.
history,n.
itself),pron.
great,adj./n.
hit,v./n.
item,n.
green,adj./n./v.
hobby,n.
jacket,n.
ground,n./v.
hold,v./n.
jeans,n.
group,n./v.
holiday,n.
job,n.
grow,v.
home,n./adv./v./adj.
join,v./n.
guess,v./n.
homework,n.
joke,n./v.
guitar,n.
honest,adj.
joy,n.
guy,n.
honey,n.
juice,n.
habit,n.
hope,v./n.
jump,v./n.
hair,n.
horse,n.
just,adv./adj.
half,n./adv./adj.
hospital,n.
keep,v./n.
ham,n.
hot,adj.
key,adj./n./v.
hand,n./v.
hotel,n.
kick,v./n.
hang,v.
hour,n.
kid,n./v.
happen,v.
house,n./v.
kill,v./n.
happy,adj.
housewife,n.
kind,adj./n.
hard,adj./adv.
how,adv.
king,n.
hat,n.
however,adv.
kiss,n./v.
hate,v./n.
hundred,n./adj.
kitchen,n.
have,aux./v.
hungry,adj.
kite,n.
knee,n./v.
husband,n.
knife,n./v.
head,n./v.
headache,n.
know,v.
health,n.
ice,n.
knowledge,n.
lake,n.
lot,n.
mistake,n./v.
lamp,n.
loud,adv./adj.
modern,adj.
land,n./v.
love,n./v.
moment,n.
language,n.
lovely,adj.
money,n.
large,adj.
low,adj./adv./n.
monkey,n.
last,n./v./adv./adj.
lucky,adj.
month,n.
late,adj./adv.
lunch,n./v.
moon,n.
later,adv.
machine,n./v.
more,adj./pron./adv.
